tag,mode,capacity,setting,bit_acc,full_decode,psnr,ssim,public_decode
main_cross_channel_distort_s99,cross_channel,100,clean,0.999921875,0.9921875,20.174398561890747,0.9790850854478776,1.0
main_cross_channel_distort_s99,cross_channel,100,distorted,0.999609375,0.9609375,20.174398561890747,0.9790850854478776,1.0
main_hybrid_clean_s123,hybrid,100,clean,0.943359375,0.0,69.2627636493682,0.9999997611157596,1.0
main_hybrid_clean_s123,hybrid,100,distorted,0.645390625,0.0,69.2627636493682,0.9999997611157596,1.0
main_hybrid_clean_s2024,hybrid,100,clean,0.495546875,0.0,inf,1.0,1.0
main_hybrid_clean_s2024,hybrid,100,distorted,0.495546875,0.0,inf,1.0,1.0
main_hybrid_clean_s42,hybrid,100,clean,0.9509375,0.0,68.20119214295491,0.999999659601599,1.0
main_hybrid_clean_s42,hybrid,100,distorted,0.52546875,0.0,68.20119214295491,0.999999659601599,1.0
main_hybrid_clean_s7,hybrid,100,clean,0.5,0.0,inf,1.0000000009313226,1.0
main_hybrid_clean_s7,hybrid,100,distorted,0.5,0.0,inf,1.0000000009313226,1.0
main_hybrid_clean_s99,hybrid,100,clean,0.50625,0.0,inf,1.000000011175871,1.0
main_hybrid_clean_s99,hybrid,100,distorted,0.50625,0.0,inf,1.000000011175871,1.0
main_hybrid_distort_s123,hybrid,100,clean,0.939453125,0.0,30.254496815597488,0.9980465015396476,1.0
main_hybrid_distort_s123,hybrid,100,distorted,0.9321875,0.0,30.254496815597488,0.9980465015396476,1.0
main_hybrid_distort_s2024,hybrid,100,clean,0.495546875,0.0,inf,1.0,1.0
main_hybrid_distort_s2024,hybrid,100,distorted,0.495546875,0.0,inf,1.0,1.0
main_hybrid_distort_s42,hybrid,100,clean,0.9403125,0.0,33.489697355076984,0.9990823678672314,1.0
main_hybrid_distort_s42,hybrid,100,distorted,0.921953125,0.0,33.489697355076984,0.9990823678672314,1.0
main_hybrid_distort_s7,hybrid,100,clean,0.93953125,0.0,33.29158115355809,0.9990398581139743,1.0
main_hybrid_distort_s7,hybrid,100,distorted,0.939609375,0.0,33.29158115355809,0.9990398581139743,1.0
main_hybrid_distort_s99,hybrid,100,clean,0.50625,0.0,inf,1.0,1.0
main_hybrid_distort_s99,hybrid,100,distorted,0.50625,0.0,inf,1.0,1.0
main_segregated_clean_s123,segregated,99,clean,1.0,1.0,60.196791989122325,0.9999980605207384,1.0
main_segregated_clean_s123,segregated,99,distorted,0.6036931818181818,0.0,60.196791989122325,0.9999980605207384,1.0
main_segregated_clean_s2024,segregated,99,clean,1.0,1.0,60.83097117436104,0.9999983347952366,1.0
main_segregated_clean_s2024,segregated,99,distorted,0.5797032828282829,0.0,60.83097117436104,0.9999983347952366,1.0
main_segregated_clean_s42,segregated,99,clean,1.0,1.0,65.53593931158719,0.9999994174577296,1.0
main_segregated_clean_s42,segregated,99,distorted,0.7062815656565656,0.25,65.53593931158719,0.9999994174577296,1.0
main_segregated_clean_s7,segregated,99,clean,1.0,1.0,70.3358493980643,0.9999998142011464,1.0
main_segregated_clean_s7,segregated,99,distorted,0.7325599747474747,0.25,70.3358493980643,0.9999998142011464,1.0
main_segregated_clean_s99,segregated,99,clean,1.0,1.0,60.3843527042559,0.9999981443397701,1.0
main_segregated_clean_s99,segregated,99,distorted,0.6534880050505051,0.1953125,60.3843527042559,0.9999981443397701,1.0
main_segregated_distort_s123,segregated,99,clean,1.0,1.0,17.311781034375954,0.9589575477875769,1.0
main_segregated_distort_s123,segregated,99,distorted,0.9998421717171717,0.984375,17.311781034375954,0.9589575477875769,1.0
main_segregated_distort_s2024,segregated,99,clean,1.0,1.0,17.518874571476793,0.9607770582661033,1.0
main_segregated_distort_s2024,segregated,99,distorted,0.9997632575757576,0.984375,17.518874571476793,0.9607770582661033,1.0
main_segregated_distort_s42,segregated,99,clean,0.9999210858585859,0.9921875,18.728716319843915,0.9707479239441454,1.0
main_segregated_distort_s42,segregated,99,distorted,0.9998421717171717,0.984375,18.728716319843915,0.9707479239441454,1.0
main_segregated_distort_s7,segregated,99,clean,1.0,1.0,19.90078932481808,0.9778519729152322,1.0
main_segregated_distort_s7,segregated,99,distorted,1.0,1.0,19.90078932481808,0.9778519729152322,1.0
main_segregated_distort_s99,segregated,99,clean,1.0,1.0,14.639044844449533,0.9169985437765718,1.0
main_segregated_distort_s99,segregated,99,distorted,1.0,1.0,14.639044844449533,0.9169985437765718,1.0
